X,TMDBID,title,releaseDate,rating,num_rating,stars,star1,star2,star3,star4,star5,director,runtime,genres,production,country,budget,revenue,date,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,ScienceFiction,Thriller,War,Western
0,862,Toy Story,10/30/95,7.5,2676,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn']",Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn,John Lasseter,81,"['Animation', 'Comedy', 'Family']",Walt Disney Pictures,United States of America,30000000,361958736,10/30/95,1995,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,8844,Jumanji,12/15/95,6.6,828,"['Robin Williams', 'Kirsten Dunst', 'Jonathan Hyde', 'Bonnie Hunt', 'Patricia Clarkson']",Robin Williams,Kirsten Dunst,Jonathan Hyde,Bonnie Hunt,Patricia Clarkson,Joe Johnston,104,"['Adventure', 'Fantasy', 'Family']",TriStar Pictures,United States of America,65000000,262797249,12/15/95,1995,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,31357,Waiting to Exhale,12/22/95,5.9,14,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon', 'Gregory Hines']",Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines,Forest Whitaker,127,"['Comedy', 'Drama', 'Romance']",Twentieth Century Fox Film Corporation,United States of America,16000000,81452156,12/22/95,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5,949,Heat,12/15/95,7.4,868,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore']",Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Michael Mann,171,"['Action', 'Crime', 'Drama', 'Thriller']",Regency Enterprises,United States of America,60000000,187436818,12/15/95,1995,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8,9091,Sudden Death,12/22/95,5.4,69,"['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood', 'Raymond J. Barry', 'Ross Malinger']",Jean-Claude Van Damme,Powers Boothe,Dorian Harewood,Raymond J. Barry,Ross Malinger,Peter Hyams,106,"['Action', 'Adventure', 'Thriller']",Universal Pictures,United States of America,35000000,64350171,12/22/95,1995,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9,710,GoldenEye,11/16/95,6.3,611,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker']",Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker,Martin Campbell,130,"['Adventure', 'Action', 'Thriller']",United Artists,France,58000000,352194034,11/16/95,1995,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
10,9087,The American President,11/17/95,6.6,86,"['Michael Douglas', 'Annette Bening', 'Michael J. Fox', 'Martin Sheen', 'Anna Deavere Smith']",Michael Douglas,Annette Bening,Michael J. Fox,Martin Sheen,Anna Deavere Smith,Rob Reiner,106,"['Comedy', 'Drama', 'Romance']",Columbia Pictures,United States of America,62000000,107879496,11/17/95,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
13,10858,Nixon,12/22/95,6.5,22,"['Anthony Hopkins', 'Joan Allen', 'J. T. Walsh', 'Paul Sorvino', 'Ed Harris']",Anthony Hopkins,Joan Allen,J. T. Walsh,Paul Sorvino,Ed Harris,Oliver Stone,192,"['History', 'Drama']",Hollywood Pictures,United States of America,44000000,13681765,12/22/95,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,1408,Cutthroat Island,12/22/95,6.2,45,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide']",Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide,Renny Harlin,119,"['Action', 'Adventure']",Le Studio Canal+,France,98000000,18517322,12/22/95,1995,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,524,Casino,11/22/95,7.5,557,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles']",Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles,Martin Scorsese,178,"['Drama', 'Crime']",Universal Pictures,France,52000000,116112375,11/22/95,1995,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,4584,Sense and Sensibility,12/13/95,7,141,"['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson', 'Alan Rickman']",Kate Winslet,Emma Thompson,Hugh Grant,Tom Wilkinson,Alan Rickman,Ang Lee,136,"['Drama', 'Romance']",Columbia Pictures Corporation,United Kingdom,16500000,1.35E+08,12/13/95,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17,5,Four Rooms,12/25/95,6.5,234,"['Quentin Tarantino', 'Antonio Banderas', 'Jennifer Beals', 'Sammi Davis', 'Amanda de Cadenet']",Quentin Tarantino,Antonio Banderas,Jennifer Beals,Sammi Davis,Amanda de Cadenet,Quentin Tarantino,98,['Comedy'],Miramax Films,United States of America,4000000,4300000,12/25/95,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,9273,Ace Ventura: When Nature Calls,11/10/95,6,464,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton']",Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,Bob Gunton,Steve Oedekerk,90,['Comedy'],O Entertainment,United States of America,30000000,212385533,11/10/95,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,11517,Money Train,11/21/95,5.2,90,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper']",Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,Chris Cooper,Joseph Ruben,103,"['Action', 'Comedy', 'Crime']",Columbia Pictures,United States of America,60000000,35431113,11/21/95,1995,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,8012,Get Shorty,10/20/95,6.1,112,"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina']",John Travolta,Gene Hackman,Rene Russo,Danny DeVito,Dennis Farina,Barry Sonnenfeld,105,"['Comedy', 'Thriller', 'Crime']",Jersey Films,United States of America,30250000,72021008,10/20/95,1995,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
22,9691,Assassins,10/6/95,5.7,155,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson']",Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoli Davydov,Muse Watson,Richard Donner,132,"['Action', 'Adventure', 'Crime', 'Thriller']",Silver Pictures,France,50000000,30303072,10/6/95,1995,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
24,451,Leaving Las Vegas,10/27/95,6.8,146,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber']",Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis,Steven Weber,Mike Figgis,112,"['Drama', 'Romance']",United Artists,United States of America,3600000,49800000,10/27/95,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
26,9263,Now and Then,10/20/95,6,26,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith', 'Gaby Hoffmann']",Christina Ricci,Rosie O'Donnell,Thora Birch,Melanie Griffith,Gaby Hoffmann,Lesli Linka Glatter,100,"['Comedy', 'Drama', 'Family']",New Line Cinema,United States of America,12000000,27400000,10/20/95,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,902,The City of Lost Children,5/16/95,7.8,143,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus']",Ron Perlman,Dominique Pinon,Judith Vittet,Daniel Emilfork,Jean-Claude Dreyfus,Marc Caro,108,"['Fantasy', 'Science Fiction', 'Adventure']",Constellation Productions,France,18000000,1738611,5/16/95,1995,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,63,Twelve Monkeys,12/29/95,7.1,1170,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse']",Bruce Willis,Madeleine Stowe,Brad Pitt,Christopher Plummer,David Morse,Terry Gilliam,129,"['Science Fiction', 'Thriller', 'Mystery']",Universal Pictures,United States of America,29500000,168840000,12/29/95,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
32,9598,Babe,7/18/95,5.8,296,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn']",Christine Cavanaugh,Miriam Margolyes,Danny Mann,Hugo Weaving,Miriam Flynn,Chris Noonan,89,"['Fantasy', 'Drama', 'Comedy', 'Family']",Universal Pictures,Australia,30000000,254134910,7/18/95,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,687,Dead Man Walking,12/29/95,7.1,110,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey']",Susan Sarandon,Sean Penn,Robert Prosky,Raymond J. Barry,R. Lee Ermey,Tim Robbins,122,['Drama'],Havoc,United States of America,11000000,39363635,12/29/95,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,9312,Mortal Kombat,8/18/95,5.5,176,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa', 'Bridgette Wilson']",Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa,Bridgette Wilson,Paul W.S. Anderson,101,"['Action', 'Fantasy']",New Line Cinema,United States of America,18000000,122195920,8/18/95,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,577,To Die For,5/20/95,6.3,56,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck', 'Illeana Douglas']",Nicole Kidman,Matt Dillon,Joaquin Phoenix,Casey Affleck,Illeana Douglas,Gus Van Sant,106,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",The Rank Organisation,United States of America,20000000,21284514,5/20/95,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
41,11861,How To Make An American Quilt,10/6/95,6.6,11,"['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan', 'Jean Simmons']",Winona Ryder,Anne Bancroft,Ellen Burstyn,Kate Nelligan,Jean Simmons,Jocelyn Moorhouse,116,"['Drama', 'Romance']",Universal Pictures,United States of America,10000000,23574130,10/6/95,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
42,807,Se7en,9/22/95,7.8,2812,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'Richard Roundtree', 'R. Lee Ermey']",Brad Pitt,Morgan Freeman,Gwyneth Paltrow,Richard Roundtree,R. Lee Ermey,David Fincher,127,"['Crime', 'Mystery', 'Thriller']",New Line Cinema,United States of America,33000000,327311859,9/22/95,1995,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
43,10530,Pocahontas,6/14/95,6.5,603,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir', 'Russell Means']",Irene Bedard,Mel Gibson,David Ogden Stiers,John Kassir,Russell Means,Eric Goldberg,81,"['Adventure', 'Animation', 'Drama', 'Family']",Walt Disney Pictures,United States of America,55000000,346079773,6/14/95,1995,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,629,The Usual Suspects,7/19/95,7.9,1433,"['Kevin Spacey', 'Stephen Baldwin', 'Gabriel Byrne', 'Benicio del Toro', 'Kevin Pollak']",Kevin Spacey,Stephen Baldwin,Gabriel Byrne,Benicio del Toro,Kevin Pollak,Bryan Singer,106,"['Drama', 'Crime', 'Thriller']",PolyGram Filmed Entertainment,United States of America,6000000,23341568,7/19/95,1995,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
45,11448,Mighty Aphrodite,9/13/95,6.6,47,"['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter', 'F. Murray Abraham', 'Donald Symington']",Woody Allen,Mira Sorvino,Helena Bonham Carter,F. Murray Abraham,Donald Symington,Woody Allen,95,"['Comedy', 'Romance']",Miramax Films,United States of America,15000000,6700000,9/13/95,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
57,10634,Friday,4/26/95,7.1,221,"['Ice Cube', 'Chris Tucker', 'Nia Long', 'Tommy Lister', 'John Witherspoon']",Ice Cube,Chris Tucker,Nia Long,Tommy Lister,John Witherspoon,F. Gary Gray,91,"['Comedy', 'Drama']",New Line Cinema,United States of America,3500000,28215918,4/26/95,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,755,From Dusk Till Dawn,1/18/96,6.9,670,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis', 'Ernest Liu']",George Clooney,Quentin Tarantino,Harvey Keitel,Juliette Lewis,Ernest Liu,Robert Rodriguez,108,"['Horror', 'Action', 'Thriller', 'Crime']",A Band Apart,United States of America,19000000,25836616,1/18/96,1996,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
59,11859,Fair Game,11/3/95,4.3,18,"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff', 'Christopher McDonald', 'Miguel Sandoval']",William Baldwin,Cindy Crawford,Steven Berkoff,Christopher McDonald,Miguel Sandoval,Andrew Sipes,91,"['Action', 'Thriller', 'Romance']",Silver Pictures,United States of America,50000000,11534477,11/3/95,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
63,36929,Big Bully,1/26/96,4.8,4,"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips', 'Carol Kane', 'Jeffrey Tambor']",Rick Moranis,Tom Arnold,Julianne Phillips,Carol Kane,Jeffrey Tambor,Steve Miner,90,"['Comedy', 'Family']",Warner Bros.,United States of America,15000000,2042530,1/26/96,1996,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,9102,Screamers,9/8/95,5.5,47,"['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin', 'Andrew Lauer', 'Liliana Komorowska']",Peter Weller,Roy Dupuis,Jennifer Rubin,Andrew Lauer,Liliana Komorowska,Christian Duguay,108,"['Horror', 'Science Fiction']",The Movie Network (TMN),Canada,20000000,5781885,9/8/95,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,400,Things to Do in Denver When You're Dead,12/1/95,6.7,23,"['Andy Garc?a', 'Christopher Lloyd', 'William Forsythe', 'Bill Nunn', 'Treat Williams']",Andy Garc?a,Christopher Lloyd,William Forsythe,Bill Nunn,Treat Williams,Gary Fleder,116,"['Drama', 'Crime']",Miramax Films,United States of America,8000000,529766,12/1/95,1995,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,10534,White Squall,2/2/96,5.9,32,"['Jeff Bridges', 'Caroline Goodall', 'John Savage', 'Scott Wolf', 'Jeremy Sisto']",Jeff Bridges,Caroline Goodall,John Savage,Scott Wolf,Jeremy Sisto,Ridley Scott,129,"['Action', 'Drama']",Hollywood Pictures,United States of America,38000000,10300000,2/2/96,1996,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,2086,Nick of Time,11/22/95,6,73,"['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton', 'Christopher Walken', 'Roma Maffia']",Johnny Depp,Courtney Chase,Charles S. Dutton,Christopher Walken,Roma Maffia,John Badham,90,"['Crime', 'Drama', 'Thriller']",Paramount Pictures,United States of America,8169363,8175346,11/22/95,1995,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
77,9095,Mary Reilly,2/23/96,5.4,23,"['Julia Roberts', 'John Malkovich', 'George Cole', 'Michael Gambon', 'Glenn Close']",Julia Roberts,John Malkovich,George Cole,Michael Gambon,Glenn Close,Stephen Frears,104,"['Drama', 'Horror', 'Thriller', 'Romance']",TriStar Pictures,United States of America,47000000,12379402,2/23/96,1996,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
78,12158,Vampire in Brooklyn,10/27/95,4.6,28,"['Eddie Murphy', 'Angela Bassett', 'Allen Payne', 'Kadeem Hardison', 'John Witherspoon']",Eddie Murphy,Angela Bassett,Allen Payne,Kadeem Hardison,John Witherspoon,Wes Craven,100,"['Comedy', 'Horror', 'Romance']",Paramount Pictures,United States of America,14000000,19800000,10/27/95,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
80,9208,Broken Arrow,2/9/96,5.5,204,"['John Travolta', 'Christian Slater', 'Samantha Mathis', 'Delroy Lindo', 'Bob Gunton']",John Travolta,Christian Slater,Samantha Mathis,Delroy Lindo,Bob Gunton,John Woo,108,"['Action', 'Adventure', 'Drama', 'Thriller']",Twentieth Century Fox Film Corporation,United States of America,50000000,150270147,2/9/96,1996,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
84,13685,Bottle Rocket,2/21/96,6.7,91,"['Luke Wilson', 'Owen Wilson', 'Lumi Cavazos', 'Andrew Wilson', 'Robert Musgrave']",Luke Wilson,Owen Wilson,Lumi Cavazos,Andrew Wilson,Robert Musgrave,Wes Anderson,91,"['Comedy', 'Crime', 'Drama']",Gracie Films,United States of America,7000000,560069,2/21/96,1996,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,9614,Happy Gilmore,2/16/96,6.4,353,"['Adam Sandler', 'Christopher McDonald', 'Julie Bowen', 'Frances Bay', 'Carl Weathers']",Adam Sandler,Christopher McDonald,Julie Bowen,Frances Bay,Carl Weathers,Dennis Dugan,92,['Comedy'],Universal Pictures,United States of America,10000000,41205099,2/16/96,1996,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,688,The Bridges of Madison County,5/28/95,7,138,"['Meryl Streep', 'Clint Eastwood', 'Annie Corley', 'Victor Slezak', 'Jim Haynie']",Meryl Streep,Clint Eastwood,Annie Corley,Victor Slezak,Jim Haynie,Clint Eastwood,135,"['Drama', 'Romance']",Amblin Entertainment,United States of America,24000000,182016617,5/28/95,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
90,197,Braveheart,5/24/95,7.5,1889,"['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']",Mel Gibson,Catherine McCormack,Sophie Marceau,Patrick McGoohan,Angus Macfadyen,Mel Gibson,177,"['Action', 'Drama', 'History', 'War']",Icon Entertainment International,United States of America,72000000,2.10E+08,5/24/95,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
92,33542,Rumble in the Bronx,1/30/95,6.6,99,"['Jackie Chan', 'Anita Mui', 'Fran?oise Yip', 'Bill Tung', 'Marc Akerstream']",Jackie Chan,Anita Mui,Fran?oise Yip,Bill Tung,Marc Akerstream,Stanley Tong,91,"['Crime', 'Action', 'Comedy', 'Thriller']",New Line Cinema,Canada,7500000,32392047,1/30/95,1995,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
98,11066,Boomerang,6/30/92,5.6,50,"['Eddie Murphy', 'Robin Givens', 'Halle Berry', 'David Alan Grier', 'Grace Jones']",Eddie Murphy,Robin Givens,Halle Berry,David Alan Grier,Grace Jones,Reginald Hudlin,117,"['Drama', 'Comedy', 'Romance']",Paramount Pictures,United States of America,40000000,70100000,6/30/92,1992,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
100,2074,Flirting with Disaster,3/22/96,6.1,23,"['Ben Stiller', 'Patricia Arquette', 'T?a Leoni', 'Mary Tyler Moore', 'Alan Alda']",Ben Stiller,Patricia Arquette,T?a Leoni,Mary Tyler Moore,Alan Alda,David O. Russell,92,"['Comedy', 'Romance']",Miramax Films,United States of America,7000000,14702438,3/22/96,1996,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
103,11863,Jade,10/13/95,5.8,18,"['David Caruso', 'Linda Fiorentino', 'Chazz Palminteri', 'Michael Biehn', 'Richard Crenna']",David Caruso,Linda Fiorentino,Chazz Palminteri,Michael Biehn,Richard Crenna,William Friedkin,95,"['Action', 'Thriller', 'Mystery', 'Romance']",Paramount Pictures,United States of America,50000000,9851610,10/13/95,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
108,9737,Bad Boys,4/7/95,6.4,962,"['Will Smith', 'Martin Lawrence', 'T?a Leoni', 'Tch?ky Karyo', 'Joe Pantoliano']",Will Smith,Martin Lawrence,T?a Leoni,Tch?ky Karyo,Joe Pantoliano,Michael Bay,118,"['Adventure', 'Drama', 'Action', 'Comedy', 'Thriller', 'Crime']",Columbia Pictures,United States of America,19000000,141407024,4/7/95,1995,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
112,568,Apollo 13,6/30/95,6.9,753,"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon', 'Gary Sinise', 'Ed Harris']",Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,Ed Harris,Ron Howard,140,['Drama'],Imagine Entertainment,United States of America,52000000,355237933,6/30/95,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
